rule_code,ingredient_a_code,ingredient_a_name,ingredient_b_code,ingredient_b_name,pair_key,severity,action_type,is_overridable,title_vi,clinical_effect_vi,mechanism_vi,recommendation_vi,monitoring_guidance_vi,route_scope,applicability_note_vi,evidence_level,source_name,source_reference,source_url,rule_set_version,evidence_checked_at,review_status,clinical_signoff_status,is_active,demo_scenario,sample_product_a_code,sample_product_a_name,sample_product_b_code,sample_product_b_name,notes
DDI-DEMO-011,ING002549,Levofloxacin,ING002855,Amiodarone,ING002549:ING002855,HIGH,AVOID_COMBINATION,True,Levofloxacin và amiodarone kéo dài QT,Tăng nguy cơ xoắn đỉnh và loạn nhịp thất.,Tác dụng kéo dài QT cộng hợp.,Tránh nếu có lựa chọn khác; cần ECG và đánh giá yếu tố nguy cơ khi bắt buộc.,"Theo dõi ECG, kali, magiê và triệu chứng hồi hộp/ngất.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=levofloxacin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002003,Dung dịch Tavanic Sanofi điều trị bệnh nhiễm khuẩn (100ml),P002393,Thuốc Cordarone 200mg Sanofi phòng ngừa và điều trị một số dạng rối loạn nhịp tim (30 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-012,ING003282,Ondansetron,ING002855,Amiodarone,ING002855:ING003282,HIGH,AVOID_COMBINATION,True,Ondansetron và amiodarone kéo dài QT,Tăng nguy cơ rối loạn nhịp thất.,Hai thuốc cộng hợp tác dụng kéo dài tái cực tim.,Tránh phối hợp hoặc sử dụng dưới giám sát ECG theo chỉ định chuyên môn.,Theo dõi ECG và điện giải.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ondansetron,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P003773,Thuốc Slandom 8 Savi phòng buồn nôn và nôn (3 vỉ x 10 viên),P002393,Thuốc Cordarone 200mg Sanofi phòng ngừa và điều trị một số dạng rối loạn nhịp tim (30 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-013,ING002589,Hydroxychloroquine sulfate,ING002553,Azithromycin,ING002553:ING002589,HIGH,AVOID_COMBINATION,True,Nguy cơ kéo dài QT khi phối hợp hydroxychloroquine và azithromycin,Tăng nguy cơ loạn nhịp tim nghiêm trọng.,Cả hai thuốc có khả năng kéo dài QT và tác dụng có thể cộng hợp.,Tránh phối hợp ngoài môi trường có giám sát; cần bác sĩ đánh giá lợi ích–nguy cơ.,"Theo dõi ECG, kali, magiê và triệu chứng ngất/hồi hộp.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",FDA_SAFETY_COMMUNICATION,FDA Drug Safety Communication,"Cardiac rhythm risk with hydroxychloroquine/chloroquine, including with azithromycin",https://www.fda.gov/drugs/drug-safety-and-availability/fda-cautions-against-use-hydroxychloroquine-or-chloroquine-covid-19-outside-hospital-setting-or,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P001553,Thuốc HCQ 200mg Zydus phòng ngừa hoặc điều trị sốt rét cấp tính (10 vỉ x 10 viên),P002000,Bột Azithromycin 100 DHG điều trị nhiễm khuẩn (24 gói),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-014,ING002589,Hydroxychloroquine sulfate,ING003282,Ondansetron,ING002589:ING003282,HIGH,AVOID_COMBINATION,True,Hydroxychloroquine và ondansetron kéo dài QT,"Tăng nguy cơ loạn nhịp thất, đặc biệt khi có yếu tố nguy cơ tim mạch.",Tác dụng kéo dài QT cộng hợp.,Tránh nếu có thể; cần giám sát ECG và điện giải khi phối hợp.,"Theo dõi QTc, kali và magiê.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=hydroxychloroquine,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P001553,Thuốc HCQ 200mg Zydus phòng ngừa hoặc điều trị sốt rét cấp tính (10 vỉ x 10 viên),P003773,Thuốc Slandom 8 Savi phòng buồn nôn và nôn (3 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-015,ING003259,Omeprazole,ING002797,Clopidogrel,ING002797:ING003259,HIGH,AVOID_COMBINATION,True,Omeprazole làm giảm hoạt hóa clopidogrel,Có thể làm giảm tác dụng chống kết tập tiểu cầu của clopidogrel.,"Omeprazole ức chế CYP2C19, enzyme tham gia chuyển clopidogrel thành chất có hoạt tính.",Tránh phối hợp; chọn PPI khác phù hợp theo chỉ định chuyên môn.,Theo dõi hiệu quả kháng tiểu cầu và biến cố tim mạch theo bác sĩ.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",REGULATORY_GUIDANCE,NHS Specialist Pharmacy Service / product labeling,Using clopidogrel with PPIs,https://www.sps.nhs.uk/articles/using-clopidogrel-with-proton-pump-inhibitors-ppis/,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P003754,"Thuốc Ocid 20mg Zydus điều trị loét tá tràng, loét dạ dày (10 vỉ x 10 viên)",P002374,Thuốc Dogrel SaVi giảm nguy cơ tai biến tim mạch (3 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-016,ING003775,Methotrexate,ING002565,Trimethoprim,ING002565:ING003775,HIGH,AVOID_COMBINATION,True,Methotrexate và trimethoprim tăng độc tính huyết học,"Tăng nguy cơ ức chế tủy, tổn thương niêm mạc, độc gan hoặc độc thận.",Tác dụng kháng folate cộng hợp và giảm thải trừ methotrexate.,"Tránh tự phối hợp; cần bác sĩ/dược sĩ đánh giá liều, chức năng thận và lựa chọn thay thế.","Theo dõi công thức máu, chức năng gan, thận và dấu hiệu loét miệng/nhiễm trùng.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",REGULATORY_GUIDANCE,NHS Specialist Pharmacy Service / product labeling,Managing interactions with methotrexate,https://www.sps.nhs.uk/articles/managing-interactions-with-methotrexate/,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P005237,"Thuốc Hemetrex 2,5mg Herabiopharm điều trị viêm khớp dạng thấp nặng (10 vỉ x 10 viên)",P001678,Thuốc Cotrimxazon 960 điều trị nhiễm khuẩn (10 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-017,ING003775,Methotrexate,ING002983,Ibuprofen,ING002983:ING003775,HIGH,AVOID_COMBINATION,True,Ibuprofen có thể làm tăng độc tính methotrexate,"Tăng nguy cơ ức chế tủy, tổn thương niêm mạc, độc gan hoặc độc thận.",NSAID có thể giảm thải trừ methotrexate qua thận.,"Tránh tự phối hợp; cần bác sĩ/dược sĩ đánh giá liều, chức năng thận và lựa chọn thay thế.","Theo dõi công thức máu, chức năng gan, thận và dấu hiệu loét miệng/nhiễm trùng.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",REGULATORY_GUIDANCE,NHS Specialist Pharmacy Service / product labeling,Managing interactions with methotrexate,https://www.sps.nhs.uk/articles/managing-interactions-with-methotrexate/,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P005237,"Thuốc Hemetrex 2,5mg Herabiopharm điều trị viêm khớp dạng thấp nặng (10 vỉ x 10 viên)",P005407,Hapacol Prime Đau Nhức Kháng Viêm Dhg Pharma 10X10,Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-018,ING003775,Methotrexate,ING003587,Naproxen,ING003587:ING003775,HIGH,AVOID_COMBINATION,True,Naproxen có thể làm tăng độc tính methotrexate,"Tăng nguy cơ ức chế tủy, tổn thương niêm mạc, độc gan hoặc độc thận.",NSAID có thể giảm thải trừ methotrexate qua thận.,"Tránh tự phối hợp; cần bác sĩ/dược sĩ đánh giá liều, chức năng thận và lựa chọn thay thế.","Theo dõi công thức máu, chức năng gan, thận và dấu hiệu loét miệng/nhiễm trùng.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",REGULATORY_GUIDANCE,NHS Specialist Pharmacy Service / product labeling,Managing interactions with methotrexate,https://www.sps.nhs.uk/articles/managing-interactions-with-methotrexate/,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P005237,"Thuốc Hemetrex 2,5mg Herabiopharm điều trị viêm khớp dạng thấp nặng (10 vỉ x 10 viên)",P005406,Thuốc Naprofazt 250mg Chống viêm không steroid (5 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-019,ING003775,Methotrexate,ING003812,Diclofenac natri,ING003775:ING003812,HIGH,AVOID_COMBINATION,True,Diclofenac có thể làm tăng độc tính methotrexate,"Tăng nguy cơ ức chế tủy, tổn thương niêm mạc, độc gan hoặc độc thận.",NSAID có thể giảm thải trừ methotrexate qua thận.,"Tránh tự phối hợp; cần bác sĩ/dược sĩ đánh giá liều, chức năng thận và lựa chọn thay thế.","Theo dõi công thức máu, chức năng gan, thận và dấu hiệu loét miệng/nhiễm trùng.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",REGULATORY_GUIDANCE,NHS Specialist Pharmacy Service / product labeling,Managing interactions with methotrexate,https://www.sps.nhs.uk/articles/managing-interactions-with-methotrexate/,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P005237,"Thuốc Hemetrex 2,5mg Herabiopharm điều trị viêm khớp dạng thấp nặng (10 vỉ x 10 viên)",P005610,"Thuốc Neo-Pyrazon 50mg United giảm đau, hạ sốt và kháng viêm (25 vỉ x 4 viên)",Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-020,ING003775,Methotrexate,ING002897,Aspirin,ING002897:ING003775,HIGH,AVOID_COMBINATION,True,Aspirin có thể làm tăng độc tính methotrexate,"Tăng nguy cơ ức chế tủy, tổn thương niêm mạc, độc gan hoặc độc thận.",Salicylate có thể làm giảm thải trừ và tăng phơi nhiễm methotrexate.,"Tránh tự phối hợp; cần bác sĩ/dược sĩ đánh giá liều, chức năng thận và lựa chọn thay thế.","Theo dõi công thức máu, chức năng gan, thận và dấu hiệu loét miệng/nhiễm trùng.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",REGULATORY_GUIDANCE,NHS Specialist Pharmacy Service / product labeling,Managing interactions with methotrexate,https://www.sps.nhs.uk/articles/managing-interactions-with-methotrexate/,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P005237,"Thuốc Hemetrex 2,5mg Herabiopharm điều trị viêm khớp dạng thấp nặng (10 vỉ x 10 viên)",P002730,Thuốc Kaclocide Khapharco ngừa hình thành cục máu đông (10 vỉ 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-021,ING002926,Warfarin,ING002897,Aspirin,ING002897:ING002926,HIGH,AVOID_COMBINATION,True,Warfarin và aspirin làm tăng nguy cơ chảy máu,"Tăng nguy cơ xuất huyết tiêu hóa, nội sọ hoặc các chảy máu nghiêm trọng.",Tác dụng chống đông của warfarin cộng hợp với ức chế tiểu cầu và tổn thương niêm mạc do aspirin.,Chỉ phối hợp khi có chỉ định rõ và kế hoạch theo dõi; tránh tự sử dụng.,"Theo dõi dấu hiệu chảy máu, hemoglobin và INR; với enoxaparin theo dõi thêm chức năng thận.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P002730,Thuốc Kaclocide Khapharco ngừa hình thành cục máu đông (10 vỉ 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-022,ING002926,Warfarin,ING002983,Ibuprofen,ING002926:ING002983,HIGH,AVOID_COMBINATION,True,Warfarin và ibuprofen làm tăng nguy cơ chảy máu,"Tăng nguy cơ xuất huyết, đặc biệt xuất huyết tiêu hóa.",NSAID ức chế tiểu cầu và gây tổn thương niêm mạc tiêu hóa trong khi warfarin chống đông.,Chỉ phối hợp khi có chỉ định rõ và kế hoạch theo dõi; tránh tự sử dụng.,"Theo dõi dấu hiệu chảy máu, hemoglobin và INR; với enoxaparin theo dõi thêm chức năng thận.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P005407,Hapacol Prime Đau Nhức Kháng Viêm Dhg Pharma 10X10,Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-023,ING002926,Warfarin,ING003587,Naproxen,ING002926:ING003587,HIGH,AVOID_COMBINATION,True,Warfarin và naproxen làm tăng nguy cơ chảy máu,Tăng nguy cơ xuất huyết tiêu hóa và chảy máu nghiêm trọng.,Tác dụng chống đông và tác dụng của NSAID cộng hợp.,Chỉ phối hợp khi có chỉ định rõ và kế hoạch theo dõi; tránh tự sử dụng.,"Theo dõi dấu hiệu chảy máu, hemoglobin và INR; với enoxaparin theo dõi thêm chức năng thận.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P005406,Thuốc Naprofazt 250mg Chống viêm không steroid (5 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-024,ING002926,Warfarin,ING003812,Diclofenac natri,ING002926:ING003812,HIGH,AVOID_COMBINATION,True,Warfarin và diclofenac làm tăng nguy cơ chảy máu,Tăng nguy cơ xuất huyết tiêu hóa và chảy máu nghiêm trọng.,Tác dụng chống đông và tác dụng của NSAID cộng hợp.,Chỉ phối hợp khi có chỉ định rõ và kế hoạch theo dõi; tránh tự sử dụng.,"Theo dõi dấu hiệu chảy máu, hemoglobin và INR; với enoxaparin theo dõi thêm chức năng thận.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P005610,"Thuốc Neo-Pyrazon 50mg United giảm đau, hạ sốt và kháng viêm (25 vỉ x 4 viên)",Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-025,ING002926,Warfarin,ING002797,Clopidogrel,ING002797:ING002926,HIGH,AVOID_COMBINATION,True,Warfarin và clopidogrel làm tăng nguy cơ chảy máu,Nguy cơ xuất huyết tăng đáng kể do kết hợp chống đông và chống kết tập tiểu cầu.,Hai cơ chế ức chế đông máu và tiểu cầu cộng hợp.,Chỉ phối hợp khi có chỉ định rõ và kế hoạch theo dõi; tránh tự sử dụng.,"Theo dõi dấu hiệu chảy máu, hemoglobin và INR; với enoxaparin theo dõi thêm chức năng thận.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P002374,Thuốc Dogrel SaVi giảm nguy cơ tai biến tim mạch (3 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-026,ING002926,Warfarin,ING002878,Enoxaparin natri,ING002878:ING002926,HIGH,ADJUST_DOSE_OR_MONITOR,True,Warfarin và enoxaparin làm tăng nguy cơ chảy máu,Nguy cơ chảy máu tăng; phối hợp đôi khi được dùng có chủ đích trong giai đoạn chuyển tiếp.,Hai thuốc chống đông tác động trên các bước khác nhau của quá trình đông máu.,Chỉ phối hợp khi có chỉ định rõ và kế hoạch theo dõi; tránh tự sử dụng.,"Theo dõi dấu hiệu chảy máu, hemoglobin và INR; với enoxaparin theo dõi thêm chức năng thận.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P002470,Thuốc tiêm Gemapaxane 4000/0.4ml Italfarmaco dự phòng huyết khối tĩnh mạch (6 bơm tiêm),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-027,ING002926,Warfarin,ING002855,Amiodarone,ING002855:ING002926,HIGH,ADJUST_DOSE_OR_MONITOR,True,Amiodarone làm tăng tác dụng warfarin,Tăng INR và nguy cơ xuất huyết.,Amiodarone ức chế chuyển hóa warfarin.,Không tự phối hợp; cần kế hoạch kiểm tra INR và điều chỉnh theo bác sĩ.,Kiểm tra INR sớm sau khi bắt đầu/ngừng thuốc tương tác và theo dõi dấu hiệu chảy máu.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P002393,Thuốc Cordarone 200mg Sanofi phòng ngừa và điều trị một số dạng rối loạn nhịp tim (30 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-028,ING002926,Warfarin,ING002545,Fluconazole,ING002545:ING002926,HIGH,ADJUST_DOSE_OR_MONITOR,True,Fluconazole làm tăng tác dụng warfarin,Tăng INR và nguy cơ xuất huyết.,Fluconazole ức chế CYP2C9/CYP3A4 tham gia chuyển hóa warfarin.,Không tự phối hợp; cần kế hoạch kiểm tra INR và điều chỉnh theo bác sĩ.,Kiểm tra INR sớm sau khi bắt đầu/ngừng thuốc tương tác và theo dõi dấu hiệu chảy máu.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P001488,Thuốc Fluconazole Stella 150mg điều trị nhiễm nấm (1 vỉ x 1 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-029,ING002926,Warfarin,ING002556,Metronidazole,ING002556:ING002926,HIGH,ADJUST_DOSE_OR_MONITOR,True,Metronidazole làm tăng tác dụng warfarin,Tăng INR và nguy cơ xuất huyết.,Metronidazole ức chế chuyển hóa S-warfarin qua CYP2C9.,Không tự phối hợp; cần kế hoạch kiểm tra INR và điều chỉnh theo bác sĩ.,Kiểm tra INR sớm sau khi bắt đầu/ngừng thuốc tương tác và theo dõi dấu hiệu chảy máu.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=warfarin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P002643,Thuốc Warfarin 5 S.P.M điều trị ngắn hạn huyết khối tĩnh mạch và nghẽn mạch phổi cấp tính (3 vỉ x 10 viên),P001512,"Viên nén Metronidazol 250mg Domesco điều trị nhiễm kí sinh trùng, nhiễm khuẩn (2 vỉ x 10 viên)",Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
